MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
344-BBOR_LA-AGENT.txt,Agent Photo Date,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Salutation,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Training,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Board Dues Paid Through,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Corp PAC Contribution YTD,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Date Agent Type Changed,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Date Assigned to Office,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Date Key Assigned,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Date of Agt State Mbrshp,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Distributed User,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Dues Paid to Board,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Hash,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Last Trigger Date,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Lock Box Key Deposit,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Lock Box Number,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Lst PAC Contrib Check #,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Lst PAC Contribution Date,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Multiple Logon,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Number of Keys,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Pers PAC Contribution YTD,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Photographer,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Prev Year PAC Contribute,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Previous Key Number,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Roster Types,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Security Level,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Sold Book Count,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Spouse First Name,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Status Date,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Text Message Address,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Training Date,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,UPAgent image Timestamp,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,UPLogo image Timestamp,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,UPPreferred Phone,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Update By Agent,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,User Code,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,User Photos Code,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Logon Name,USER_NAME,Null
344-BBOR_LA-AGENT.txt,Agent Url,WEBSITE.URL,Null
